edinet_code,securities_code,name
E34684,2972,"サンケイリアルエステート投資法人"
E35254,2979,"ＳＯＳｉＬＡ物流リート投資法人"
E36620,2989,"東海道リート投資法人"
E14404,3226,"三井不動産アコモデーションファンド投資法人"
E14490,3234,"森ヒルズリート投資法人"
E14705,3249,"産業ファンド投資法人"
E24347,3269,"アドバンス・レジデンス投資法人"
E26572,3279,"アクティビア・プロパティーズ投資法人"
E27092,3281,"ＧＬＰ投資法人"
E27159,3282,"コンフォリア・レジデンシャル投資法人"
E27230,3283,"日本プロロジスリート投資法人"
E27652,3287,"星野リゾート・リート投資法人"
E27884,3290,"Ｏｎｅリート投資法人"
E30064,3292,"イオンリート投資法人"
E30291,3295,"ヒューリックリート投資法人"
E30513,3296,"日本リート投資法人"
E31038,3309,"積水ハウス・リート投資法人"
E30997,3451,"トーセイ・リート投資法人"
E31280,3455,"ヘルスケア＆メディカル投資法人"
E31604,3459,"サムティ・レジデンシャル投資法人"
E31931,3462,"野村不動産マスターファンド投資法人"
E31889,3463,"いちごホテルリート投資法人"
E32042,3466,"ラサールロジポート投資法人"
E32253,3468,"スターアジア不動産投資法人"
E32350,3470,"マリモ地方創生リート投資法人"
E32450,3471,"三井不動産ロジスティクスパーク投資法人"
E32428,3472,"日本ホテル＆レジデンシャル投資法人"
E32744,3476,"投資法人みらい"
E33350,3481,"三菱地所物流リート投資法人"
E33664,3487,"ＣＲＥロジスティクスファンド投資法人"
E33700,3488,"セントラル・リート投資法人"
E34083,3492,"ＭＩＲＡＲＴＨ不動産投資法人"
E40695,401A,"霞ヶ関ホテルリート投資法人"
E41225,509A,"グリーンライト・再エネインフラ投資法人"
E13206,8951,"日本ビルファンド投資法人"
E13205,8952,"ジャパンリアルエステイト投資法人"
E13410,8953,"日本都市ファンド投資法人"
E13445,8954,"オリックス不動産投資法人"
E13448,8955,"日本プライムリアルティ投資法人"
E13484,8956,"ＮＴＴ都市開発リート投資法人"
E13661,8957,"東急リアル・エステート投資法人"
E13678,8958,"グローバル・ワン不動産投資法人"
E13756,8960,"ユナイテッド・アーバン投資法人"
E13771,8961,"森トラストリート投資法人"
E13833,8963,"インヴィンシブル投資法人"
E13869,8964,"三井不動産商業ファンド投資法人"
E14005,8966,"平和不動産リート投資法人"
E14042,8967,"日本ロジスティクスファンド投資法人"
E14079,8968,"福岡リート投資法人"
E14109,8972,"ＫＤＸ不動産投資法人"
E14150,8975,"いちごオフィスリート投資法人"
E14197,8976,"大和証券オフィス投資法人"
E14207,8977,"阪急阪神リート投資法人"
E14223,8979,"スターツプロシード投資法人"
E14140,8984,"大和ハウスリート投資法人"
E14273,8985,"ジャパン・ホテル・リート投資法人"
E14380,8986,"大和証券リビング投資法人"
E14394,8987,"ジャパンエクセレント投資法人"
